vmax_cp	max_depth	vmax_minbucket	min_split	ganancia_promedio
-0.3	3	100	50	9169333
-0.3	3	100	30	9169333
-0.3	5	100	500	11098000
-0.3	5	100	300	10977333
-0.3	5	100	200	10977333
-0.3	5	100	150	10977333
-0.3	5	100	50	10977333
-0.3	5	100	30	10977333
-0.3	6	100	500	9728000
-0.3	6	100	300	9659333
-0.3	6	100	200	9748000
-0.3	6	100	150	9748000
-0.3	6	100	50	9748000
-0.3	6	100	30	9748000
-0.3	9	100	500	9305333
-0.3	9	100	300	8670000
-0.3	9	100	200	8465333
-0.3	9	100	150	8465333
-0.3	9	100	50	8465333
-0.3	9	100	30	8465333
-0.3	11	100	500	8910000
-0.3	11	100	300	7556667
-0.3	11	100	200	6802000
-0.3	11	100	150	6802000
-0.3	11	100	50	6802000
-0.3	11	100	30	6802000
-0.3	12	100	500	8724000
-0.3	12	100	300	7212000
-0.3	12	100	200	6399333
-0.3	12	100	150	6399333
-0.3	12	100	50	6399333
-0.3	12	100	30	6399333
-0.3	3	76	500	9169333
-0.3	3	76	300	9169333
-0.3	3	76	200	9169333
-0.3	3	76	150	9169333
-0.3	3	76	50	9169333
-0.3	3	76	30	9169333
-0.3	5	76	500	11004000
-0.3	5	76	300	10922000
-0.3	5	76	200	10922000
-0.3	5	76	150	10878667
-0.3	5	76	50	10878667
-0.3	5	76	30	10878667
-0.3	6	76	500	9614667
-0.3	6	76	300	9595333
-0.3	6	76	200	9661333
-0.3	6	76	150	9628667
-0.3	6	76	50	9628667
-0.3	6	76	30	9628667
-0.3	9	76	500	8626667
-0.3	9	76	300	8264667
-0.3	9	76	200	8235333
-0.3	9	76	150	7962000
-0.3	9	76	50	7962000
-0.3	9	76	30	7962000
-0.3	11	76	500	8473333
-0.3	11	76	300	7805333
-0.3	11	76	200	7130667
-0.3	11	76	150	6640667
-0.3	11	76	50	6640667
-0.3	11	76	30	6640667
-0.3	12	76	500	8265333
-0.3	12	76	300	7164667
-0.3	12	76	200	6140667
-0.3	12	76	150	5714667
-0.3	12	76	50	5714667
-0.3	12	76	30	5714667
-0.3	3	26	500	8741333
-0.3	3	26	300	8741333
-0.3	3	26	200	8741333
-0.3	3	26	150	8741333
-0.3	3	26	50	8741333
-0.3	3	26	30	8741333
-0.3	5	26	500	10723333
-0.3	5	26	300	10723333
-0.3	5	26	200	10692667
-0.3	5	26	150	10656000
-0.3	5	26	50	10655333
-0.3	5	26	30	10655333
-0.3	6	26	500	10148000
-0.3	6	26	300	10268667
-0.3	6	26	200	10275333
-0.3	6	26	150	10255333
-0.3	6	26	50	10342000
-0.3	6	26	30	10342000
-0.3	9	26	500	9335333
-0.3	9	26	300	9208000
-0.3	9	26	200	8833333
-0.3	9	26	150	8684667
-0.3	9	26	50	8852000
-0.3	9	26	30	8852000
-0.3	11	26	500	7698000
-0.3	11	26	300	7393333
-0.3	11	26	200	6702000
-0.3	11	26	150	6653333
-0.3	11	26	50	6546667
-0.3	11	26	30	6546667
-0.3	12	26	500	7987333
-0.3	12	26	300	7416667
-0.3	12	26	200	6487333
-0.3	12	26	150	6350667
-0.3	12	26	50	6330667
-0.3	12	26	30	6330667
-0.3	3	16	500	8556667
-0.3	3	16	300	8556667
-0.3	3	16	200	8556667
-0.3	3	16	150	8556667
-0.3	3	16	50	8556667
-0.3	3	16	30	8556667
-0.3	5	16	500	10611333
-0.3	5	16	300	10611333
-0.3	5	16	200	10580667
-0.3	5	16	150	10580667
-0.3	5	16	50	10526000
-0.3	5	16	30	10532000
-0.3	6	16	500	10742667
-0.3	6	16	300	10742667
-0.3	6	16	200	10706000
-0.3	6	16	150	10692000
-0.3	6	16	50	10642000
-0.3	6	16	30	10708000
-0.3	9	16	500	9449333
-0.3	9	16	300	9453333
-0.3	9	16	200	9266667
-0.3	9	16	150	8862000
-0.3	9	16	50	9074000
-0.3	9	16	30	9204000
-0.3	11	16	500	8305333
-0.3	11	16	300	7936000
-0.3	11	16	200	7610000
-0.3	11	16	150	6929333
