fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220424 155806	-0.999601420000365	2062	1025	3	5	9050000	89
20220424 155839	-0.490702387846207	8000	2000	20	5	8607000	90
20220424 155859	-0.999049722811661	4214	469	3	5	8733000	91
20220424 155936	-0.844226291009285	6128	913	20	5	9084000	92
20220424 160013	-0.999227312264982	7997	556	20	5	8607000	93
20220424 160032	-0.258059018667356	6080	1818	3	5	8590000	94
20220424 160102	-0.613852267272954	1357	666	6	5	9794000	95
20220424 160139	-0.555088088607999	3335	1030	20	5	9918000	96
20220424 160217	-0.359589769956305	4400	655	20	5	9349000	97
20220424 160304	-0.3349455650059	1588	314	15	5	10921000	98
20220424 160322	-0.849639073223321	7999	1178	3	5	8607000	99
20220424 160407	-0.56032069225779	1525	325	12	5	10634000	100
20220424 160443	-0.819780997373596	3129	964	20	5	9923000	101
20220424 160529	-0.355500937126985	1584	321	13	5	10921000	102
20220424 160618	-0.353312948278103	1480	315	14	5	10634000	103
20220424 160702	-0.383888935338991	1590	544	17	5	10195000	104
20220424 160750	-0.617947489739373	1700	320	9	5	10673000	105
20220424 160844	-0.327382264760429	3013	1499	20	5	9524000	106
20220424 160927	-0.741272009512372	4400	687	20	5	9339000	107
20220424 161015	-0.342871845547339	1684	307	19	5	10673000	108
20220424 161047	-0.294314712242124	4157	1100	7	5	9552000	109
20220424 161147	-0.998172375593347	7190	1	20	5	8355000	110
20220424 161222	-0.943245267645298	1681	568	7	5	10135000	111
20220424 161306	-0.334125048516433	1623	359	10	5	10921000	112
20220424 161346	-0.382446160568351	1654	328	8	5	10907000	113
20220424 161424	-0.340041919614583	1630	341	8	5	10907000	114
20220424 161504	-0.347966482022021	1624	332	12	5	10921000	115
20220424 161541	-0.367939496444529	1629	305	10	5	10907000	116
