Feature	Gain	Cover	Frequency
mcuentas_saldo	0.157925039042328	0.0179429079062317	0.0343283582089552
mrentabilidad_annual	0.143265751370612	0.0181398329600878	0.0318407960199005
mpasivos_margen	0.118397335365057	0.0287031542209894	0.0303482587064677
mcuenta_corriente	0.091249621877832	0.0290551979112089	0.0323383084577114
ctarjeta_debito_trx	0.0797269445367513	0.0111142568515921	0.00746268656716418
Visa_mpagominimo	0.0686862656663568	0.00695551266130191	0.0134328358208955
mcaja_ahorro	0.0406941114574769	0.0104997702613885	0.0164179104477612
mcomisiones	0.0383685603900891	0.00570853190744238	0.0228855721393035
Visa_msaldototal	0.0381180660649906	0.0072459721986231	0.00646766169154229
ctrx_quarter	0.0309927037924328	0.0533127761438989	0.0398009950248756
chomebanking_trx	0.0271143904190231	0.00727245906637069	0.0253731343283582
Visa_mpagospesos	0.0213633100036883	0.00356519358960981	0.017910447761194
Master_mconsumospesos	0.0208692203632631	0.00112077476273547	0.00348258706467662
mpayroll	0.0185135720604298	0.146555969625332	0.0318407960199005
Master_msaldototal	0.0167870259951228	0.000469617410089158	0.00447761194029851
mtarjeta_visa_consumo	0.0109228666223202	0.0275096716950557	0.0114427860696517
cliente_antiguedad	0.00956132584867126	0.00523412850392359	0.0218905472636816
Master_Fvencimiento	0.00856572726218139	0.0457390398838249	0.0373134328358209
Visa_Fvencimiento	0.00745806469580494	0.0450010790339068	0.0293532338308458
mcomisiones_mantenimiento	0.00659372016429291	0.0061999376072546	0.00646766169154229
cpayroll_trx	0.00655031418156835	0.0442003320692702	0.0099502487562189
mautoservicio	0.00608904719724367	0.00541726377762395	0.0119402985074627
cliente_edad	0.00594865161777525	0.0102149053099941	0.0283582089552239
numero_de_cliente	0.00322712248214535	0.00741199590677366	0.0388059701492537
cproductos	0.0032201452885587	0.0082733654548524	0.0124378109452736
Master_fechaalta	0.00216710729162818	0.018297858158671	0.0328358208955224
ccomisiones_otras	0.00164643458192387	0.00680347541796856	0.00945273631840796
Visa_mconsumospesos	0.00133345685036097	0.0135383297429277	0.0134328358208955
mrentabilidad	0.00122014943612148	0.0116720545515836	0.0228855721393035
Visa_mfinanciacion_limite	0.00114197007822861	0.00226635364667021	0.0124378109452736
mpagomiscuentas	0.000860581907734119	0.0114791506063624	0.00597014925373134
mtarjeta_visa_descuentos	0.000815993934185292	0.0172785945351167	0.00746268656716418
mcheques_depositados	0.000761613165816738	0.000622965884499118	0.00298507462686567
mtarjeta_visa_debitos_automaticos	0.000711856331201401	0.0077414645686241	0.00796019900497512
mactivos_margen	0.000613848550356725	0.0254015180777789	0.0258706467661692
Master_mpagospesos	0.000584577168307848	0.0149137455807415	0.0124378109452736
mprestamos_personales	0.000571869353524168	0.0291689690609564	0.0169154228855721
Visa_mpagado	0.000532269258394389	0.0111969299709726	0.0109452736318408
Visa_cconsumos	0.000530298568076833	0.00150754422263392	0.00845771144278607
mtransferencias_emitidas	0.000513277635301668	0.00320694340562769	0.0124378109452736
Visa_fechaalta	0.000459707432037373	0.00890649338019527	0.0208955223880597
mcomisiones_otras	0.000457362681885743	0.00536195168004213	0.00646766169154229
mprestamos_prendarios	0.000405874891220154	0.00159174711160379	0.00149253731343284
Visa_mconsumosdolares	0.000396348551036927	0.00350269157495789	0.00447761194029851
Master_mfinanciacion_limite	0.00039380926774624	0.00509164139359824	0.0174129353233831
Visa_msaldopesos	0.000360268201344277	0.00494487092842263	0.00895522388059702
active_quarter	0.000184019553267285	2.76451218652699e-05	0.00149253731343284
mcuenta_debitos_automaticos	0.000166010501037337	0.0269727007153312	0.0114427860696517
ccomisiones_mantenimiento	0.000154506021645549	0.00103683411998092	0.00348258706467662
catm_trx	0.00014984605504863	1.91221198672816e-05	0.00099502487562189
ctarjeta_debito	0.000137115216878857	0.00161412545531133	0.0099502487562189
Master_mpagado	0.000133173473641124	0.0122363209915529	0.00398009950248756
mtransferencias_recibidas	0.000120427110062208	0.0120204267947885	0.00945273631840796
mcaja_ahorro_dolares	0.000118838768967562	0.0131843847676471	0.0104477611940299
ctarjeta_visa_trx	0.000117013491999254	0.0115411936901375	0.00497512437810945
Visa_msaldodolares	0.00010674090315365	0.00461732540548455	0.00348258706467662
cseguro_vivienda	0.00010630452376516	7.53957869052816e-06	0.000497512437810945
Visa_mlimitecompra	8.43258196723703e-05	0.00611949358070436	0.00696517412935323
mextraccion_autoservicio	8.1860251000546e-05	0.00069040686953961	0.00248756218905473
Master_mpagominimo	7.9984604035305e-05	0.00299159555514519	0.00398009950248756
ctransferencias_emitidas	7.80524860663213e-05	0.00406470706824575	0.00497512437810945
cextraccion_autoservicio	6.93020859997871e-05	0.00293936485059341	0.00298507462686567
Visa_fultimo_cierre	6.89117147876797e-05	0.000129440361113039	0.00348258706467662
mttarjeta_master_debitos_automaticos	6.77543242354672e-05	0.00545454644790233	0.00398009950248756
mcaja_ahorro_adicional	6.70801013781643e-05	0.00261120741981959	0.00696517412935323
Master_msaldopesos	6.59948735966451e-05	0.0046635244470839	0.0054726368159204
Master_fultimo_cierre	6.59184263949341e-05	0.00756245967281507	0.00696517412935323
cprestamos_personales	5.67948896267613e-05	0.00148153813961442	0.00398009950248756
ctransferencias_recibidas	5.61658401878976e-05	0.00431353501888446	0.00646766169154229
Visa_mpagosdolares	5.60995563497015e-05	0.00233980444081185	0.00348258706467662
ctarjeta_visa_debitos_automaticos	5.37733522730951e-05	0.000957985424573891	0.00348258706467662
ccheques_depositados	5.28338238456205e-05	0.00530587469766563	0.00248756218905473
ccajas_consultas	4.58858747936781e-05	0.000106209717205701	0.00149253731343284
ccaja_ahorro	4.51875229289735e-05	0.000743489874291184	0.00298507462686567
Master_Finiciomora	3.93756863651528e-05	0.00579649365883188	0.00248756218905473
mdescubierto_preacordado	3.76688912875434e-05	0.00015820002939343	0.00298507462686567
tpaquete7	3.617712827268e-05	0.00994608108543708	0.00447761194029851
ccaja_seguridad	3.59740926761617e-05	0.00976998275184788	0.00497512437810945
tpaquete9	3.25325023545058e-05	0.00194540798681776	0.00348258706467662
thomebanking	3.23428248643504e-05	6.47966690359884e-05	0.00099502487562189
ctarjeta_master_trx	2.94228081294058e-05	0.000221051705665775	0.00099502487562189
cpagodeservicios	2.65380528169226e-05	0.003601514690432	0.00199004975124378
cpagomiscuentas	2.59844881587862e-05	0.00351073379222779	0.00248756218905473
