Feature	Gain	Cover	Frequency
ctrx_quarter	0.140386123601423	0.0455488129604648	0.0648315951444691
mpasivos_margen	0.0498135826033466	0.0390338943369523	0.0530689006667807
mrentabilidad_annual	0.041663550715929	0.0423912396857019	0.0447255941186528
mcuentas_saldo	0.0386131183198874	0.0453457233133148	0.0446230124807659
Master_fechaalta	0.0363291308296191	0.049898347336575	0.0426739613609164
Visa_fechaalta	0.0343330473010367	0.0449736933048495	0.0381261754146008
numero_de_cliente	0.0340027499721256	0.0696590300401108	0.0491024106684903
cliente_antiguedad	0.0314211416669175	0.0611923062387932	0.0431868695503505
Visa_Fvencimiento	0.0294417660264542	0.032321456543727	0.0326893486065994
mpayroll	0.0293317370476691	0.00873440003270743	0.00509488801504531
cliente_edad	0.0291424973934819	0.0497322277861511	0.0387416652419217
mcaja_ahorro	0.0289786494439168	0.0222941790278157	0.0382287570524876
mactivos_margen	0.0276077056042189	0.037176967008662	0.0358693793810908
mcuenta_corriente	0.0271055404199145	0.050298123639781	0.0302273892973158
Master_Fvencimiento	0.0252441596411767	0.0261218384261039	0.0296460933492905
chomebanking_trx	0.0237350002915546	0.014722231418981	0.0237989399897418
mrentabilidad	0.0224904967562121	0.0251019567742983	0.0285860830911267
mtarjeta_visa_consumo	0.0202582574211369	0.0126141046400869	0.0171311335270987
Visa_mfinanciacion_limite	0.0174842657071453	0.0126829374184207	0.0160711232689349
Master_mfinanciacion_limite	0.0158292664564194	0.0155762406533523	0.0168233886134382
mcomisiones_otras	0.015788273131646	0.01197355714955	0.0162078987861173
Visa_mpagospesos	0.0149838057389944	0.0128017210161662	0.0195930928363823
mtransferencias_recibidas	0.0144155677170724	0.0137954377747353	0.0192511540434262
cpayroll_trx	0.0142763808115989	0.00260636186367121	0.00119678577534621
mprestamos_personales	0.0138402520913466	0.0124535530708073	0.00512908189434091
Visa_mconsumospesos	0.0137652423102184	0.0098107053912179	0.0164814498204821
mcomisiones	0.0135034282665582	0.011197738047164	0.0153188579244315
