fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220427 115733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.0323919123775784	0.91366665020733	8000	1024	0.0159070877648771	12899000	46
20220427 115939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	565	TRUE	0.0136017784028695	0.797945084881929	8000	246	0.0169398660134496	13061000	47
20220427 120006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	0.115403486284366	0.910764861450547	5916	283	0.0169103959444746	13232000	48
20220427 120351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	763	TRUE	0.0100619194685874	0.249916560567623	5708	1023	0.0168363749787293	13334000	49
20220427 120447	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0804771077866169	0.200776532567642	8000	300	0.016838422693144	13334000	50
20220427 120833	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	531	TRUE	0.0102084799330285	0.730981864332721	2264	153	0.0143596302927753	13648000	51
20220427 120846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.208870090807961	0.893875233162526	7997	370	0.0161206498503799	12999000	52
20220427 121212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	820	TRUE	0.0113701093556525	0.216713427511664	2849	1024	0.0167983572083273	13319000	53
20220427 121414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	329	TRUE	0.0114573171604253	0.560192088120113	4049	1023	0.0160300839305094	13787000	54
20220427 121551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	265	TRUE	0.0171294880007535	0.93459083912057	2284	1024	0.016055122242042	13636000	55
20220427 121705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0167635126083426	0.918101124834384	4216	1024	0.0156372830154961	13381000	56
20220427 121928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	384	TRUE	0.010072007751412	0.704040631000497	2618	1024	0.0164932985402635	13655000	57
20220427 122003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0721129211498776	0.355114765968185	4355	1024	0.0160887727961273	13473000	58
20220427 122051	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0376459811088993	0.220874561862091	4052	175	0.0170699550884231	13416000	59
20220427 122104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.259327845642242	0.576800224745403	7996	1015	0.0164554031201119	12667000	60
20220427 122121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.0997714347674375	0.687981312762031	7998	450	0.0245756426289869	11959000	61
20220427 122136	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.189012503161531	0.760764567694457	6652	179	0.0159525707210837	13002000	62
20220427 122353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	356	TRUE	0.0110866964714862	0.784264914436889	2120	162	0.0167174134366743	13775000	63
20220427 122559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	352	TRUE	0.0119628309850034	0.878440888697776	2534	1024	0.0111199130212726	12644000	64
